idTarget,idSource,ValueAbs,ValueRel
1,1.0,1.0,1.0
2,2.0,1.0,1.0
4,4.0,1.0,1.0
5,5.0,1.0,1.0
6,6.0,1.0,1.0
7,7.0,1.0,1.0
8,8.0,1.0,1.0
9,9.0,1.0,1.0
10,10.0,1.0,1.0
11,11.0,1.0,1.0
12,12.0,1.0,1.0
14,14.0,1.0,1.0
15,15.0,1.0,1.0
16,16.0,1.0,1.0
17,17.0,1.0,1.0
18,18.0,1.0,1.0
19,19.0,1.0,1.0
32,32.0,1.0,1.0
33,33.0,1.0,1.0
34,34.0,1.0,1.0
35,35.0,1.0,1.0
40,40.0,1.0,1.0
43,43.0,1.0,1.0
44,44.0,1.0,1.0
45,45.0,1.0,1.0
46,46.0,1.0,1.0
47,47.0,1.0,1.0
48,48.0,1.0,1.0
49,49.0,1.0,1.0
50,50.0,1.0,1.0
51,51.0,1.0,1.0
52,52.0,1.0,1.0
60,60.0,1.0,1.0
61,61.0,1.0,1.0
62,62.0,1.0,1.0
65,65.0,1.0,1.0
69,69.0,1.0,1.0
70,70.0,1.0,1.0
71,71.0,1.0,1.0
72,72.0,1.0,1.0
73,73.0,1.0,1.0
74,74.0,1.0,1.0
75,75.0,1.0,0.8735196589294173
75,917.0,0.08897775556110972,0.12648034107058267
76,76.0,1.0,1.0
77,77.0,1.0,1.0
78,78.0,1.0,1.0
79,79.0,1.0,1.0
81,81.0,1.0,1.0
82,82.0,0.9989678560896491,1.0
83,83.0,1.0,1.0
84,84.0,1.0,1.0
85,85.0,1.0,1.0
86,86.0,1.0,1.0
88,88.0,1.0,1.0
89,89.0,1.0,1.0
90,90.0,1.0,1.0
91,91.0,1.0,1.0
92,92.0,1.0,0.8704552141566139
92,245.0,0.22298751614291865,0.08709175738724728
92,858.0,0.08456836640710039,0.042453028456138873
94,94.0,1.0,1.0
95,95.0,1.0,1.0
96,96.0,1.0,1.0
97,97.0,1.0,1.0
98,98.0,1.0,1.0
99,99.0,1.0,1.0
100,100.0,1.0,1.0
101,101.0,1.0,1.0
102,102.0,1.0,1.0
103,103.0,1.0,1.0
105,105.0,1.0,1.0
106,106.0,1.0,1.0
107,107.0,1.0,1.0
108,108.0,1.0,1.0
109,109.0,1.0,1.0
139,139.0,1.0,1.0
140,140.0,1.0,1.0
141,141.0,1.0,1.0
142,142.0,1.0,1.0
143,143.0,1.0,1.0
144,144.0,1.0,1.0
145,145.0,0.999343975508419,1.0
146,146.0,1.0,1.0
148,148.0,1.0,1.0
149,149.0,1.0,1.0
150,150.0,1.0,1.0
151,151.0,1.0,1.0
152,152.0,0.9284248332478194,1.0
153,153.0,1.0,1.0
163,163.0,1.0,1.0
164,164.0,1.0,1.0
165,165.0,1.0,1.0
166,166.0,1.0,1.0
167,167.0,1.0,0.4191015179433184
167,596.0,1.0,0.5808984820566816
169,169.0,1.0,1.0
170,170.0,1.0,1.0
171,171.0,0.9952507818834704,1.0
172,172.0,1.0,1.0
173,173.0,1.0,0.9919815575824398
173,420.0,0.005578022590991494,0.00801844241756039
174,174.0,1.0,1.0
175,175.0,1.0,1.0
176,176.0,1.0,1.0
177,177.0,1.0,1.0
178,178.0,1.0,0.993431979465499
178,768.0,0.012138970280452072,0.006568020534500982
179,179.0,1.0,1.0
180,180.0,1.0,1.0
181,181.0,1.0,1.0
182,182.0,1.0,1.0
183,183.0,1.0,1.0
184,184.0,1.0,1.0
186,186.0,1.0,1.0
201,201.0,1.0,1.0
202,202.0,1.0,1.0
203,203.0,1.0,1.0
204,204.0,1.0,1.0
205,205.0,1.0,1.0
206,206.0,1.0,0.8017747931406644
206,578.0,0.18204845814977974,0.19822520685933565
207,207.0,1.0,1.0
208,208.0,1.0,1.0
209,209.0,1.0,1.0
210,210.0,1.0,0.9934332033654832
210,82.0,0.0010321439103509289,0.0014364867638005335
210,788.0,0.004857198367981349,0.005130309870716191
211,211.0,1.0,1.0
212,212.0,1.0,1.0
213,213.0,1.0,1.0
214,214.0,1.0,1.0
216,216.0,1.0,1.0
217,217.0,1.0,1.0
218,218.0,1.0,1.0
219,219.0,1.0,1.0
220,220.0,1.0,1.0
221,221.0,1.0,1.0
222,222.0,1.0,1.0
223,223.0,1.0,1.0
224,224.0,1.0,1.0
225,225.0,1.0,1.0
226,226.0,0.9990564766140989,1.0
227,227.0,1.0,1.0
228,228.0,1.0,1.0
229,229.0,1.0,1.0
230,230.0,1.0,1.0
231,231.0,1.0,1.0
232,232.0,1.0,1.0
233,233.0,1.0,1.0
235,235.0,1.0,1.0
236,236.0,1.0,1.0
237,237.0,1.0,1.0
238,238.0,1.0,1.0
239,239.0,1.0,1.0
240,240.0,1.0,1.0
241,241.0,1.0,1.0
242,242.0,1.0,1.0
243,243.0,1.0,1.0
244,244.0,1.0,1.0
245,245.0,0.7770124838570813,1.0
