idTarget,idSource,ValueAbs,ValueRel
1,1.0,1.0,1.0
2,2.0,1.0,1.0
3,3.0,0.6949628567939019,1.0
4,4.0,1.0,1.0
5,5.0,0.988177559669864,1.0
6,6.0,1.0,1.0
7,7.0,1.0,1.0
8,8.0,1.0,1.0
9,9.0,1.0,1.0
10,10.0,0.9895951735594999,1.0
11,11.0,1.0,1.0
12,12.0,1.0,1.0
13,13.0,1.0,1.0
14,14.0,1.0,0.9919302775984508
14,178.0,0.00016329196603527107,0.0006455777921239509
14,623.0,0.0007645259938837921,0.0016139444803098776
14,696.0,0.002995008319467554,0.005717900736820557
14,492.0,1.8643126920415906e-05,9.229939229500004e-05
15,15.0,1.0,1.0
16,16.0,1.0,1.0
17,17.0,0.9890756302521009,1.0
18,18.0,1.0,1.0
19,19.0,1.0,1.0
32,32.0,1.0,1.0
34,34.0,1.0,0.6476663616158975
34,995.0,1.0,0.3523336383841025
35,35.0,1.0,1.0
39,39.0,1.0,1.0
40,40.0,1.0,1.0
43,43.0,1.0,1.0
44,44.0,0.9800980246546859,1.0
45,45.0,1.0,1.0
46,46.0,1.0,0.9002528412729998
46,246.0,0.02244441000314986,0.05619714646774235
46,681.0,0.0035354617527319477,0.010181063660729605
46,741.0,0.006816245384833854,0.007404409935076078
46,789.0,0.0030869212022745737,0.011723649063870458
46,90.0,0.005340909090909091,0.014240889599581853
47,47.0,1.0,1.0
48,48.0,1.0,0.9182990922121357
48,443.0,0.03748355984217448,0.0817009077878643
49,49.0,1.0,1.0
50,50.0,1.0,1.0
51,51.0,1.0,1.0
52,52.0,1.0,1.0
60,60.0,1.0,1.0
61,61.0,1.0,1.0
62,62.0,1.0,1.0
65,65.0,1.0,1.0
69,69.0,1.0,1.0
70,70.0,1.0,1.0
71,71.0,0.9911641791044776,1.0
72,72.0,1.0,1.0
73,73.0,0.9985652797704447,1.0
74,74.0,1.0,1.0
75,75.0,1.0,0.8878903617164682
75,917.0,0.05246556618652087,0.11210963828353179
76,76.0,1.0,1.0
77,77.0,1.0,0.9994692848613507
77,85.0,0.0009250693802035153,0.0005307151386493299
78,78.0,1.0,1.0
79,79.0,1.0,1.0
80,80.0,1.0,1.0
81,81.0,0.7794141476066929,0.9985370734491796
81,172.0,0.0016372181441421784,0.001462926550820381
82,82.0,1.0,1.0
83,83.0,1.0,1.0
84,84.0,1.0,1.0
85,85.0,0.9990749306197965,1.0
86,86.0,0.9977641973468475,1.0
87,87.0,1.0,1.0
88,88.0,1.0,1.0
89,89.0,1.0,1.0
90,90.0,0.9946590909090909,1.0
91,91.0,0.9996710680889056,0.9998846584588138
91,92.0,0.0019024240564590364,0.00011534154118623196
92,92.0,0.9603559374041117,1.0
93,93.0,1.0,1.0
94,94.0,1.0,1.0
95,95.0,1.0,1.0
96,96.0,1.0,1.0
97,97.0,1.0,1.0
98,98.0,0.4517299630857786,1.0
99,99.0,1.0,1.0
100,100.0,1.0,1.0
101,101.0,1.0,1.0
102,102.0,1.0,1.0
103,103.0,1.0,1.0
104,104.0,1.0,0.8344103392568659
104,92.0,0.03774163853942927,0.16558966074313408
105,105.0,1.0,1.0
107,107.0,1.0,0.9974548159024923
107,86.0,0.0022358026531524816,0.0017320933362511446
107,543.0,0.0011260162595893744,0.0008130907612562253
108,108.0,1.0,1.0
109,109.0,1.0,0.9924710641645129
109,110.0,0.02275042444821732,0.007528935835487132
110,110.0,0.9772495755517827,1.0
139,139.0,0.6493268053855569,1.0
140,140.0,1.0,1.0
141,141.0,1.0,1.0
142,142.0,0.9325995807127883,0.9847119224187108
142,44.0,0.019901975345314123,0.015288077581289219
144,144.0,0.9989927816014773,1.0
145,145.0,1.0,1.0
146,146.0,1.0,1.0
147,147.0,1.0,0.9290380251667472
147,733.0,0.07612303606992697,0.07096197483325312
148,148.0,1.0,1.0
149,149.0,1.0,1.0
150,150.0,1.0,1.0
151,151.0,1.0,1.0
152,152.0,1.0,0.9990500316656109
152,975.0,0.0008217910235256162,0.0009499683343888537
162,162.0,1.0,1.0
163,163.0,1.0,1.0
164,164.0,1.0,1.0
165,165.0,1.0,0.9867533423279774
165,914.0,0.02521597011440579,0.013246657672022568
166,166.0,1.0,0.9992208804051422
166,893.0,0.002254791431792559,0.0007791195948578107
167,167.0,1.0,1.0
168,168.0,0.9984805318138652,1.0
169,169.0,1.0,1.0
170,170.0,1.0,1.0
171,171.0,0.7267679586988522,1.0
172,172.0,0.9404908672461181,0.9946275071633238
172,81.0,0.0036717947657656834,0.0053724928366762174
173,173.0,1.0,0.9936119244077721
173,404.0,0.0020136374149495482,0.006388075592227841
174,174.0,1.0,0.9852869053457577
174,502.0,0.0066181336863004635,0.014713094654242276
175,175.0,1.0,1.0
176,176.0,1.0,1.0
177,177.0,1.0,1.0
178,178.0,0.9998367080339647,1.0
